from_station_code,to_station_code,time_minutes,event_type_code
METRO_V1_UENO,METRO_V1_NAKA-OKACHIMACHI,1,METRO_V1
METRO_V1_UENO,METRO_V1_IRIYA,2,METRO_V1
METRO_V1_IRIYA,METRO_V1_UENO,2,METRO_V1
METRO_V1_IRIYA,METRO_V1_MINOWA,2,METRO_V1
METRO_V1_MINOWA,METRO_V1_IRIYA,2,METRO_V1
METRO_V1_MINOWA,METRO_V1_MINAMI-SENJU,2,METRO_V1
METRO_V1_MINAMI-SENJU,METRO_V1_MINOWA,2,METRO_V1
METRO_V1_MINAMI-SENJU,METRO_V1_KITA-SENJU,3,METRO_V1
METRO_V1_KITA-SENJU,METRO_V1_MINAMI-SENJU,3,METRO_V1
METRO_V1_NAKANO,METRO_V1_OCHIAI,3,METRO_V1
METRO_V1_OCHIAI,METRO_V1_NAKANO,3,METRO_V1
METRO_V1_OCHIAI,METRO_V1_TAKADANOBABA,3,METRO_V1
METRO_V1_TAKADANOBABA,METRO_V1_OCHIAI,3,METRO_V1
METRO_V1_TAKADANOBABA,METRO_V1_WASEDA,2,METRO_V1
METRO_V1_WASEDA,METRO_V1_TAKADANOBABA,3,METRO_V1
METRO_V1_WASEDA,METRO_V1_KAGURAZAKA,2,METRO_V1
METRO_V1_KAGURAZAKA,METRO_V1_WASEDA,2,METRO_V1
METRO_V1_KAGURAZAKA,METRO_V1_IIDABASHI,2,METRO_V1
METRO_V1_IIDABASHI,METRO_V1_KAGURAZAKA,2,METRO_V1
METRO_V1_IIDABASHI,METRO_V1_KUDANSHITA,1,METRO_V1
METRO_V1_KUDANSHITA,METRO_V1_IIDABASHI,2,METRO_V1
METRO_V1_KUDANSHITA,METRO_V1_TAKEBASHI,2,METRO_V1
METRO_V1_TAKEBASHI,METRO_V1_KUDANSHITA,2,METRO_V1
METRO_V1_TAKEBASHI,METRO_V1_OTEMACHI,2,METRO_V1
METRO_V1_OTEMACHI,METRO_V1_TAKEBASHI,2,METRO_V1
METRO_V1_OTEMACHI,METRO_V1_NIHOMBASHI,1,METRO_V1
METRO_V1_NIHOMBASHI,METRO_V1_OTEMACHI,1,METRO_V1
METRO_V1_NIHOMBASHI,METRO_V1_KAYABACHO,1,METRO_V1
METRO_V1_KAYABACHO,METRO_V1_NIHOMBASHI,1,METRO_V1
METRO_V1_KAYABACHO,METRO_V1_MONZEN-NAKACHO,3,METRO_V1
METRO_V1_MONZEN-NAKACHO,METRO_V1_KAYABACHO,3,METRO_V1
METRO_V1_MONZEN-NAKACHO,METRO_V1_KIBA,2,METRO_V1
METRO_V1_KIBA,METRO_V1_MONZEN-NAKACHO,1,METRO_V1
METRO_V1_KIBA,METRO_V1_TOYOCHO,1,METRO_V1
METRO_V1_TOYOCHO,METRO_V1_KIBA,1,METRO_V1
METRO_V1_TOYOCHO,METRO_V1_MINAMI-SUNAMACHI,2,METRO_V1
METRO_V1_MINAMI-SUNAMACHI,METRO_V1_TOYOCHO,2,METRO_V1
METRO_V1_MINAMI-SUNAMACHI,METRO_V1_NISHI-KASAI,3,METRO_V1
METRO_V1_NISHI-KASAI,METRO_V1_MINAMI-SUNAMACHI,3,METRO_V1
METRO_V1_NISHI-KASAI,METRO_V1_KASAI,2,METRO_V1
METRO_V1_KASAI,METRO_V1_NISHI-KASAI,2,METRO_V1
METRO_V1_KASAI,METRO_V1_URAYASU,2,METRO_V1
METRO_V1_URAYASU,METRO_V1_KASAI,2,METRO_V1
METRO_V1_URAYASU,METRO_V1_MINAMI-GYOTOKU,2,METRO_V1
METRO_V1_MINAMI-GYOTOKU,METRO_V1_URAYASU,2,METRO_V1
METRO_V1_MINAMI-GYOTOKU,METRO_V1_GYOTOKU,2,METRO_V1
METRO_V1_GYOTOKU,METRO_V1_MINAMI-GYOTOKU,2,METRO_V1
METRO_V1_GYOTOKU,METRO_V1_MYODEN,2,METRO_V1
METRO_V1_MYODEN,METRO_V1_GYOTOKU,2,METRO_V1
METRO_V1_MYODEN,METRO_V1_BARAKI-NAKAYAMA,3,METRO_V1
METRO_V1_BARAKI-NAKAYAMA,METRO_V1_MYODEN,2,METRO_V1
METRO_V1_BARAKI-NAKAYAMA,METRO_V1_NISHI-FUNABASHI,3,METRO_V1
METRO_V1_NISHI-FUNABASHI,METRO_V1_BARAKI-NAKAYAMA,3,METRO_V1
METRO_V1_YOYOGI-UEHARA,METRO_V1_YOYOGI-KOEN,2,METRO_V1
METRO_V1_YOYOGI-KOEN,METRO_V1_YOYOGI-UEHARA,1,METRO_V1
METRO_V1_YOYOGI-KOEN,METRO_V1_MEIJI-JINGUMAE,2,METRO_V1
METRO_V1_MEIJI-JINGUMAE,METRO_V1_YOYOGI-KOEN,1,METRO_V1
METRO_V1_MEIJI-JINGUMAE,METRO_V1_OMOTE-SANDO,1,METRO_V1
METRO_V1_OMOTE-SANDO,METRO_V1_MEIJI-JINGUMAE,1,METRO_V1
METRO_V1_OMOTE-SANDO,METRO_V1_NOGIZAKA,2,METRO_V1
METRO_V1_NOGIZAKA,METRO_V1_OMOTE-SANDO,2,METRO_V1
METRO_V1_NOGIZAKA,METRO_V1_AKASAKA,2,METRO_V1
METRO_V1_AKASAKA,METRO_V1_NOGIZAKA,2,METRO_V1
METRO_V1_AKASAKA,METRO_V1_KOKKAI-GIJIDOMAE,1,METRO_V1
METRO_V1_KOKKAI-GIJIDOMAE,METRO_V1_AKASAKA,2,METRO_V1
METRO_V1_HIBIYA,METRO_V1_NIJUBASHIMAE,1,METRO_V1
METRO_V1_NIJUBASHIMAE,METRO_V1_HIBIYA,2,METRO_V1
METRO_V1_NIJUBASHIMAE,METRO_V1_OTEMACHI,1,METRO_V1
METRO_V1_OTEMACHI,METRO_V1_NIJUBASHIMAE,1,METRO_V1
METRO_V1_OTEMACHI,METRO_V1_SHIN-OCHANOMIZU,2,METRO_V1
METRO_V1_SHIN-OCHANOMIZU,METRO_V1_OTEMACHI,1,METRO_V1
METRO_V1_SHIN-OCHANOMIZU,METRO_V1_YUSHIMA,1,METRO_V1
METRO_V1_YUSHIMA,METRO_V1_SHIN-OCHANOMIZU,2,METRO_V1
METRO_V1_YUSHIMA,METRO_V1_NEZU,2,METRO_V1
METRO_V1_NEZU,METRO_V1_YUSHIMA,1,METRO_V1
METRO_V1_NEZU,METRO_V1_SENDAGI,2,METRO_V1
METRO_V1_SENDAGI,METRO_V1_NEZU,2,METRO_V1
METRO_V1_SENDAGI,METRO_V1_NISHI-NIPPORI,1,METRO_V1
METRO_V1_NISHI-NIPPORI,METRO_V1_SENDAGI,1,METRO_V1
METRO_V1_NISHI-NIPPORI,METRO_V1_MACHIYA,3,METRO_V1
METRO_V1_MACHIYA,METRO_V1_NISHI-NIPPORI,2,METRO_V1
METRO_V1_MACHIYA,METRO_V1_KITA-SENJU,3,METRO_V1
METRO_V1_KITA-SENJU,METRO_V1_MACHIYA,2,METRO_V1
METRO_V1_KITA-SENJU,METRO_V1_AYASE,3,METRO_V1
METRO_V1_AYASE,METRO_V1_KITA-SENJU,3,METRO_V1
METRO_V1_AYASE,METRO_V1_KITA-AYASE,4,METRO_V1
METRO_V1_KITA-AYASE,METRO_V1_AYASE,4,METRO_V1
METRO_V1_WAKOSHI,METRO_V1_CHIKATETSU-NARIMASU,3,METRO_V1
METRO_V1_CHIKATETSU-NARIMASU,METRO_V1_WAKOSHI,3,METRO_V1
METRO_V1_CHIKATETSU-NARIMASU,METRO_V1_CHIKATETSU-AKATSUKA,2,METRO_V1
METRO_V1_CHIKATETSU-AKATSUKA,METRO_V1_CHIKATETSU-NARIMASU,2,METRO_V1
METRO_V1_CHIKATETSU-AKATSUKA,METRO_V1_HEIWADAI,3,METRO_V1
METRO_V1_HEIWADAI,METRO_V1_CHIKATETSU-AKATSUKA,3,METRO_V1
METRO_V1_HEIWADAI,METRO_V1_HIKAWADAI,2,METRO_V1
METRO_V1_HIKAWADAI,METRO_V1_HEIWADAI,2,METRO_V1
METRO_V1_HIKAWADAI,METRO_V1_KOTAKE-MUKAIHARA,2,METRO_V1
METRO_V1_KOTAKE-MUKAIHARA,METRO_V1_HIKAWADAI,2,METRO_V1
METRO_V1_KOTAKE-MUKAIHARA,METRO_V1_SENKAWA,2,METRO_V1
METRO_V1_SENKAWA,METRO_V1_KOTAKE-MUKAIHARA,2,METRO_V1
METRO_V1_SENKAWA,METRO_V1_KANAMECHO,2,METRO_V1
METRO_V1_KANAMECHO,METRO_V1_SENKAWA,2,METRO_V1
METRO_V1_KANAMECHO,METRO_V1_IKEBUKURO,2,METRO_V1
METRO_V1_IKEBUKURO,METRO_V1_KANAMECHO,2,METRO_V1
METRO_V1_IKEBUKURO,METRO_V1_HIGASHI-IKEBUKURO,2,METRO_V1
METRO_V1_HIGASHI-IKEBUKURO,METRO_V1_IKEBUKURO,2,METRO_V1
METRO_V1_HIGASHI-IKEBUKURO,METRO_V1_GOKOKUJI,2,METRO_V1
METRO_V1_GOKOKUJI,METRO_V1_HIGASHI-IKEBUKURO,2,METRO_V1
METRO_V1_GOKOKUJI,METRO_V1_EDOGAWABASHI,2,METRO_V1
METRO_V1_EDOGAWABASHI,METRO_V1_GOKOKUJI,2,METRO_V1
METRO_V1_EDOGAWABASHI,METRO_V1_IIDABASHI,3,METRO_V1
METRO_V1_IIDABASHI,METRO_V1_EDOGAWABASHI,3,METRO_V1
METRO_V1_IIDABASHI,METRO_V1_ICHIGAYA,1,METRO_V1
METRO_V1_ICHIGAYA,METRO_V1_IIDABASHI,1,METRO_V1
METRO_V1_ICHIGAYA,METRO_V1_KOJIMACHI,2,METRO_V1
METRO_V1_KOJIMACHI,METRO_V1_ICHIGAYA,2,METRO_V1
METRO_V1_KOJIMACHI,METRO_V1_NAGATACHO,2,METRO_V1
METRO_V1_NAGATACHO,METRO_V1_KOJIMACHI,1,METRO_V1
METRO_V1_NAGATACHO,METRO_V1_SAKURADAMON,2,METRO_V1
METRO_V1_SAKURADAMON,METRO_V1_NAGATACHO,2,METRO_V1
METRO_V1_SAKURADAMON,METRO_V1_YURAKUCHO,2,METRO_V1
METRO_V1_YURAKUCHO,METRO_V1_SAKURADAMON,2,METRO_V1
METRO_V1_YURAKUCHO,METRO_V1_GINZA-ITCHOME,1,METRO_V1
METRO_V1_GINZA-ITCHOME,METRO_V1_YURAKUCHO,2,METRO_V1
METRO_V1_GINZA-ITCHOME,METRO_V1_SHINTOMICHO,1,METRO_V1
METRO_V1_SHINTOMICHO,METRO_V1_GINZA-ITCHOME,2,METRO_V1
METRO_V1_SHINTOMICHO,METRO_V1_TSUKISHIMA,2,METRO_V1
METRO_V1_TSUKISHIMA,METRO_V1_SHINTOMICHO,2,METRO_V1
METRO_V1_TSUKISHIMA,METRO_V1_TOYOSU,2,METRO_V1
METRO_V1_TOYOSU,METRO_V1_TSUKISHIMA,2,METRO_V1
METRO_V1_TOYOSU,METRO_V1_TATSUMI,2,METRO_V1
METRO_V1_TATSUMI,METRO_V1_TOYOSU,2,METRO_V1
METRO_V1_TATSUMI,METRO_V1_SHIN-KIBA,3,METRO_V1
METRO_V1_SHIN-KIBA,METRO_V1_TATSUMI,2,METRO_V1
METRO_V1_OMOTE-SANDO,METRO_V1_AOYAMA-ITCHOME,2,METRO_V1
METRO_V1_AOYAMA-ITCHOME,METRO_V1_OMOTE-SANDO,2,METRO_V1
METRO_V1_AOYAMA-ITCHOME,METRO_V1_NAGATACHO,2,METRO_V1
METRO_V1_NAGATACHO,METRO_V1_AOYAMA-ITCHOME,2,METRO_V1
METRO_V1_NAGATACHO,METRO_V1_HANZOMON,2,METRO_V1
METRO_V1_HANZOMON,METRO_V1_NAGATACHO,2,METRO_V1
METRO_V1_HANZOMON,METRO_V1_KUDANSHITA,3,METRO_V1
METRO_V1_KUDANSHITA,METRO_V1_HANZOMON,3,METRO_V1
METRO_V1_KUDANSHITA,METRO_V1_JIMBOCHO,1,METRO_V1
METRO_V1_JIMBOCHO,METRO_V1_KUDANSHITA,1,METRO_V1
METRO_V1_JIMBOCHO,METRO_V1_OTEMACHI,3,METRO_V1
METRO_V1_OTEMACHI,METRO_V1_JIMBOCHO,3,METRO_V1
METRO_V1_OTEMACHI,METRO_V1_MITSUKOSHIMAE,2,METRO_V1
METRO_V1_MITSUKOSHIMAE,METRO_V1_OTEMACHI,2,METRO_V1
METRO_V1_MITSUKOSHIMAE,METRO_V1_SUITENGUMAE,3,METRO_V1
METRO_V1_SUITENGUMAE,METRO_V1_MITSUKOSHIMAE,2,METRO_V1
METRO_V1_SUITENGUMAE,METRO_V1_KIYOSUMI-SHIRAKAWA,3,METRO_V1
METRO_V1_KIYOSUMI-SHIRAKAWA,METRO_V1_SUITENGUMAE,3,METRO_V1
METRO_V1_KIYOSUMI-SHIRAKAWA,METRO_V1_SUMIYOSHI,3,METRO_V1
METRO_V1_SUMIYOSHI,METRO_V1_KIYOSUMI-SHIRAKAWA,3,METRO_V1
METRO_V1_SUMIYOSHI,METRO_V1_KINSHICHO,2,METRO_V1
METRO_V1_KINSHICHO,METRO_V1_SUMIYOSHI,1,METRO_V1
METRO_V1_KINSHICHO,METRO_V1_OSHIAGE,2,METRO_V1
METRO_V1_OSHIAGE,METRO_V1_KINSHICHO,2,METRO_V1
METRO_V1_MEGURO,METRO_V1_SHIROKANEDAI,2,METRO_V1
METRO_V1_SHIROKANEDAI,METRO_V1_MEGURO,2,METRO_V1
METRO_V1_SHIROKANEDAI,METRO_V1_SHIROKANE-TAKANAWA,2,METRO_V1
METRO_V1_SHIROKANE-TAKANAWA,METRO_V1_SHIROKANEDAI,2,METRO_V1
METRO_V1_SHIROKANE-TAKANAWA,METRO_V1_AZABU-JUBAN,2,METRO_V1
METRO_V1_AZABU-JUBAN,METRO_V1_SHIROKANE-TAKANAWA,2,METRO_V1
METRO_V1_AZABU-JUBAN,METRO_V1_ROPPONGI-ITCHOME,2,METRO_V1
METRO_V1_ROPPONGI-ITCHOME,METRO_V1_AZABU-JUBAN,1,METRO_V1
METRO_V1_ROPPONGI-ITCHOME,METRO_V1_TAMEIKE-SANNO,2,METRO_V1
METRO_V1_TAMEIKE-SANNO,METRO_V1_ROPPONGI-ITCHOME,2,METRO_V1
METRO_V1_TAMEIKE-SANNO,METRO_V1_NAGATACHO,1,METRO_V1
METRO_V1_NAGATACHO,METRO_V1_TAMEIKE-SANNO,1,METRO_V1
METRO_V1_NAGATACHO,METRO_V1_YOTSUYA,2,METRO_V1
METRO_V1_YOTSUYA,METRO_V1_NAGATACHO,2,METRO_V1
METRO_V1_YOTSUYA,METRO_V1_ICHIGAYA,1,METRO_V1
METRO_V1_ICHIGAYA,METRO_V1_YOTSUYA,1,METRO_V1
METRO_V1_IIDABASHI,METRO_V1_KORAKUEN,1,METRO_V1
METRO_V1_KORAKUEN,METRO_V1_IIDABASHI,2,METRO_V1
METRO_V1_KORAKUEN,METRO_V1_TODAIMAE,2,METRO_V1
METRO_V1_TODAIMAE,METRO_V1_KORAKUEN,3,METRO_V1
METRO_V1_TODAIMAE,METRO_V1_HON-KOMAGOME,1,METRO_V1
METRO_V1_HON-KOMAGOME,METRO_V1_TODAIMAE,1,METRO_V1
METRO_V1_HON-KOMAGOME,METRO_V1_KOMAGOME,2,METRO_V1
