id,from_station_code,to_station_code,time_minutes,created_at,updated_at,event_type_code
72,KUHONBUTSU,OYAMADAI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
73,KUHONBUTSU,JIYUGAOKA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
74,MEGURO,FUDOMAE,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
75,MIDORIGAOKA,JIYUGAOKA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
76,MIDORIGAOKA,OOKAYAMA,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
77,MINAMIMACHIDAGRANBERRYPARK,TSUKIMINO,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
78,MINAMIMACHIDAGRANBERRYPARK,SUZUKAKEDAI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
79,MINATOMIRAI,BASHAMICHI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
80,MINATOMIRAI,SHINTAKASHIMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
81,MIYAMAEDAIRA,SAGINUMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
82,MIYAMAEDAIRA,MIYAZAKIDAI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
83,MIYAZAKIDAI,MIYAMAEDAIRA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
84,MIYAZAKIDAI,KAJIGAYA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
85,MIZONOKUCHI,KAJIGAYA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
86,MIZONOKUCHI,TAKATSU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
87,MOTOMACHICHUKAGAI,NIHONODORI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
88,MOTOSUMIYOSHI,HIYOSHI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
89,MOTOSUMIYOSHI,MUSASHIKOSUGI,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
90,MUSASHIKOSUGI,MOTOSUMIYOSHI,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
91,MUSASHIKOSUGI,SHINMARUKO,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
92,MUSASHIKOYAMA,NISHIKOYAMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
93,MUSASHIKOYAMA,FUDOMAE,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
94,MUSASHINITTA,SHIMOMARUKO,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
95,MUSASHINITTA,YAGUCHINOWATASHI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
96,MYORENJI,HAKURAKU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
97,MYORENJI,KIKUNA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
98,NAGAHARA,SENZOKUIKE,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
99,NAGAHARA,HATANODAI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
100,NAGATSUTA,TSUKUSHINO,3,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
101,NAGATSUTA,TANA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
102,NAKAMEGURO,YUTENJI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
103,NAKAMEGURO,DAIKANYAMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
104,NAKANOBU,EBARAMACHI,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
105,NAKANOBU,TOGOSHIKOEN,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
106,NIHONODORI,MOTOMACHICHUKAGAI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
107,NIHONODORI,BASHAMICHI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
108,NISHIKOYAMA,SENZOKU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
109,NISHIKOYAMA,MUSASHIKOYAMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
110,NUMABE,TAMAGAWA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
111,NUMABE,UNOKI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
112,OIMACHI,SHIMOSHINMEI,3,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
113,OKURAYAMA,KIKUNA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
114,OKURAYAMA,TSUNASHIMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
115,OKUSAWA,DENENCHOFU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
116,OKUSAWA,OOKAYAMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
117,ONTAKESAN,KUGAHARA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
118,ONTAKESAN,YUKIGAYAOTSUKA,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
119,OOKAYAMA,MIDORIGAOKA,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
120,OOKAYAMA,KITASENZOKU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
121,OOKAYAMA,OKUSAWA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
122,OOKAYAMA,SENZOKU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
123,OSAKIHIROKOJI,TOGOSHIGINZA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
124,OSAKIHIROKOJI,GOTANDA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
125,OYAMADAI,TODOROKI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
126,OYAMADAI,KUHONBUTSU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
127,SAGINUMA,TAMAPLAZA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
128,SAGINUMA,MIYAMAEDAIRA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
129,SAKURASHINMACHI,YOGA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
130,SAKURASHINMACHI,KOMAZAWADAIGAKU,3,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
131,SANGENJAYA,KOMAZAWADAIGAKU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
132,SANGENJAYA,IKEJIRIOHASHI,3,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
133,SENZOKU,OOKAYAMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
134,SENZOKU,NISHIKOYAMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
135,SENZOKUIKE,ISHIKAWADAI,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
136,SENZOKUIKE,NAGAHARA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
137,SHIBUYA,DAIKANYAMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
138,SHIBUYA,IKEJIRIOHASHI,3,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
139,SHIMOMARUKO,UNOKI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
140,SHIMOMARUKO,MUSASHINITTA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
141,SHIMOSHINMEI,TOGOSHIKOEN,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
142,SHIMOSHINMEI,OIMACHI,3,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
143,SHINMARUKO,MUSASHIKOSUGI,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
144,SHINMARUKO,TAMAGAWA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
145,SHINTAKASHIMA,MINATOMIRAI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
146,SHINTAKASHIMA,YOKOHAMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
147,SHINTSUNASHIMA,HIYOSHI,3,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
148,SHINTSUNASHIMA,SHINYOKOHAMA,4,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
149,SHINYOKOHAMA,SHINTSUNASHIMA,4,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
150,SUZUKAKEDAI,MINAMIMACHIDAGRANBERRYPARK,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
151,SUZUKAKEDAI,TSUKUSHINO,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
152,TAKATSU,MIZONOKUCHI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
153,TAKATSU,FUTAKOSHINCHI,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
154,TAMAGAWA,SHINMARUKO,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
155,TAMAGAWA,DENENCHOFU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
156,TAMAGAWA,NUMABE,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
157,TAMAPLAZA,AZAMINO,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
158,TAMAPLAZA,SAGINUMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
159,TANA,NAGATSUTA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
160,TANA,AOBADAI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
161,TANMACHI,YOKOHAMA,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
162,TANMACHI,HIGASHIHAKURAKU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
163,TODOROKI,KAMINOGE,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
164,TODOROKI,OYAMADAI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
165,TOGOSHIGINZA,EBARANAKANOBU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
166,TOGOSHIGINZA,OSAKIHIROKOJI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
167,TOGOSHIKOEN,NAKANOBU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
168,TOGOSHIKOEN,SHIMOSHINMEI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
169,TORITSUDAIGAKU,JIYUGAOKA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
170,TORITSUDAIGAKU,GAKUGEIDAIGAKU,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
171,TSUKIMINO,CHUORINKAN,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
172,TSUKIMINO,MINAMIMACHIDAGRANBERRYPARK,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
173,TSUKUSHINO,SUZUKAKEDAI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
174,TSUKUSHINO,NAGATSUTA,3,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
175,TSUNASHIMA,OKURAYAMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
176,TSUNASHIMA,HIYOSHI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
177,UNOKI,NUMABE,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
178,UNOKI,SHIMOMARUKO,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
179,YAGUCHINOWATASHI,MUSASHINITTA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
180,YAGUCHINOWATASHI,KAMATA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
181,YOGA,FUTAKOTAMAGAWA,3,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
182,YOGA,SAKURASHINMACHI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
183,YOKOHAMA,SHINTAKASHIMA,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
184,YOKOHAMA,TANMACHI,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
185,YUKIGAYAOTSUKA,ONTAKESAN,1,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
186,YUKIGAYAOTSUKA,ISHIKAWADAI,2,2025-07-09 00:06:30.481,2025-07-09 00:06:30.481,TOKYU
