id,station_code,name,kana,latitude,longitude,is_mission_set,created_at,updated_at,event_type_code,english_name
318,TOKYU_V2_MIYAZAKIDAI,宮崎台,みやざきだい,35.587325,139.591349,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,MIYAZAKIDAI
319,TOKYU_V2_MIZONOKUCHI,溝の口,みぞのくち,35.600032,139.610626,true,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,MIZONOKUCHI
320,TOKYU_V2_MOTOMACHICHUKAGAI,元町・中華街,もとまちちゅうかがい,35.442411,139.650472,true,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,MOTOMACHICHUKAGAI
321,TOKYU_V2_MOTOSUMIYOSHI,元住吉,もとすみよし,35.56432,139.654046,true,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,MOTOSUMIYOSHI
322,TOKYU_V2_MUSASHIKOSUGI,武蔵小杉,むさしこすぎ,35.57657493,139.6594451,true,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,MUSASHIKOSUGI
323,TOKYU_V2_MUSASHIKOYAMA,武蔵小山,むさしこやま,35.620507,139.704413,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,MUSASHIKOYAMA
324,TOKYU_V2_MUSASHINITTA,武蔵新田,むさしにった,35.567711,139.692579,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,MUSASHINITTA
325,TOKYU_V2_MYORENJI,妙蓮寺,みょうれんじ,35.498474,139.633139,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,MYORENJI
326,TOKYU_V2_NAGAHARA,長原,ながはら,35.602237,139.697903,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,NAGAHARA
327,TOKYU_V2_NAGATSUTA,長津田,ながつた,35.53168368,139.4952627,true,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,NAGATSUTA
328,TOKYU_V2_NAKAMEGURO,中目黒,なかめぐろ,35.644307,139.699157,true,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,NAKAMEGURO
329,TOKYU_V2_NAKANOBU,中延,なかのぶ,35.605479,139.713679,false,2025-09-17 11:13:06.738+00,2025-09-17 11:13:06.738+00,TOKYU_V2,NAKANOBU
