id,station_code,event_code,created_at,updated_at,team_code
240,TOKYU_V2_JIYUGAOKA,TOKYU_V2_20251115,2025-11-15 08:19:34.665+00,2025-11-15 08:19:34.665+00,TOKYU_V2_20251115_TEAM_A
241,TOKYU_V2_SHIMOSHINMEI,TOKYU_V2_20251115,2025-11-15 08:35:14.314+00,2025-11-15 08:35:14.314+00,TOKYU_V2_20251115_TEAM_D
242,TOKYU_V2_KITASENZOKU,TOKYU_V2_20251115,2025-11-15 08:35:28.848+00,2025-11-15 08:35:28.848+00,TOKYU_V2_20251115_TEAM_A
243,TOKYU_V2_NAKANOBU,TOKYU_V2_20251115,2025-11-15 08:38:23.372+00,2025-11-15 08:38:23.372+00,TOKYU_V2_20251115_TEAM_C
244,TOKYU_V2_OIMACHI,TOKYU_V2_20251115,2025-11-15 08:40:56.301+00,2025-11-15 08:40:56.301+00,TOKYU_V2_20251115_TEAM_D
245,TOKYU_V2_MIZONOKUCHI,TOKYU_V2_20251115,2025-11-15 08:41:59.092+00,2025-11-15 08:41:59.092+00,TOKYU_V2_20251115_TEAM_B
246,TOKYU_V2_NAKANOBU,TOKYU_V2_20251115,2025-11-15 08:57:58.536+00,2025-11-15 08:57:58.536+00,TOKYU_V2_20251115_TEAM_D
247,TOKYU_V2_TOGOSHIGINZA,TOKYU_V2_20251115,2025-11-15 09:03:01.769+00,2025-11-15 09:03:01.769+00,TOKYU_V2_20251115_TEAM_C
248,TOKYU_V2_TOGOSHIGINZA,TOKYU_V2_20251115,2025-11-15 09:07:08.959+00,2025-11-15 09:07:08.959+00,TOKYU_V2_20251115_TEAM_A
249,TOKYU_V2_GOTANDA,TOKYU_V2_20251115,2025-11-15 09:11:07.98+00,2025-11-15 09:11:07.98+00,TOKYU_V2_20251115_TEAM_C
250,TOKYU_V2_GOTANDA,TOKYU_V2_20251115,2025-11-15 09:11:27.156+00,2025-11-15 09:11:27.156+00,TOKYU_V2_20251115_TEAM_A
251,METRO_V1_OTEMACHI,METRO_V1_TESTPLAY_20261010,2026-10-10 01:00:00+09,2026-10-10 01:00:00+09,METRO_V1_TESTPLAY_20261010_TEAM_A
252,METRO_V1_OTEMACHI,METRO_V1_TESTPLAY_20261010,2026-10-10 01:00:00+09,2026-10-10 01:00:00+09,METRO_V1_TESTPLAY_20261010_TEAM_B
253,METRO_V1_OTEMACHI,METRO_V1_TESTPLAY_20261010,2026-10-10 01:00:00+09,2026-10-10 01:00:00+09,METRO_V1_TESTPLAY_20261010_TEAM_C
254,METRO_V1_OTEMACHI,METRO_V1_TESTPLAY_20261010,2026-10-10 01:00:00+09,2026-10-10 01:00:00+09,METRO_V1_TESTPLAY_20261010_TEAM_D
